"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25044_001E","Estimate!!Total:"
"B25044_001M","Margin of Error!!Total:"
"B25044_001MA","Annotation of Margin of Error!!Total:"
"B25044_001EA","Annotation of Estimate!!Total:"
"B25044_002E","Estimate!!Total:!!Owner occupied:"
"B25044_002EA","Annotation of Estimate!!Total:!!Owner occupied:"
"B25044_002M","Margin of Error!!Total:!!Owner occupied:"
"B25044_002MA","Annotation of Margin of Error!!Total:!!Owner occupied:"
"B25044_003E","Estimate!!Total:!!Owner occupied:!!No vehicle available"
"B25044_003EA","Annotation of Estimate!!Total:!!Owner occupied:!!No vehicle available"
"B25044_003M","Margin of Error!!Total:!!Owner occupied:!!No vehicle available"
"B25044_003MA","Annotation of Margin of Error!!Total:!!Owner occupied:!!No vehicle available"
"B25044_004E","Estimate!!Total:!!Owner occupied:!!1 vehicle available"
"B25044_004EA","Annotation of Estimate!!Total:!!Owner occupied:!!1 vehicle available"
"B25044_004M","Margin of Error!!Total:!!Owner occupied:!!1 vehicle available"
"B25044_004MA","Annotation of Margin of Error!!Total:!!Owner occupied:!!1 vehicle available"
"B25044_005E","Estimate!!Total:!!Owner occupied:!!2 vehicles available"
"B25044_005EA","Annotation of Estimate!!Total:!!Owner occupied:!!2 vehicles available"
"B25044_005M","Margin of Error!!Total:!!Owner occupied:!!2 vehicles available"
"B25044_005MA","Annotation of Margin of Error!!Total:!!Owner occupied:!!2 vehicles available"
"B25044_006E","Estimate!!Total:!!Owner occupied:!!3 vehicles available"
"B25044_006EA","Annotation of Estimate!!Total:!!Owner occupied:!!3 vehicles available"
"B25044_006M","Margin of Error!!Total:!!Owner occupied:!!3 vehicles available"
"B25044_006MA","Annotation of Margin of Error!!Total:!!Owner occupied:!!3 vehicles available"
"B25044_007E","Estimate!!Total:!!Owner occupied:!!4 vehicles available"
"B25044_007EA","Annotation of Estimate!!Total:!!Owner occupied:!!4 vehicles available"
"B25044_007M","Margin of Error!!Total:!!Owner occupied:!!4 vehicles available"
"B25044_007MA","Annotation of Margin of Error!!Total:!!Owner occupied:!!4 vehicles available"
"B25044_008E","Estimate!!Total:!!Owner occupied:!!5 or more vehicles available"
"B25044_008EA","Annotation of Estimate!!Total:!!Owner occupied:!!5 or more vehicles available"
"B25044_008M","Margin of Error!!Total:!!Owner occupied:!!5 or more vehicles available"
"B25044_008MA","Annotation of Margin of Error!!Total:!!Owner occupied:!!5 or more vehicles available"
"B25044_009E","Estimate!!Total:!!Renter occupied:"
"B25044_009EA","Annotation of Estimate!!Total:!!Renter occupied:"
"B25044_009M","Margin of Error!!Total:!!Renter occupied:"
"B25044_009MA","Annotation of Margin of Error!!Total:!!Renter occupied:"
"B25044_010E","Estimate!!Total:!!Renter occupied:!!No vehicle available"
"B25044_010EA","Annotation of Estimate!!Total:!!Renter occupied:!!No vehicle available"
"B25044_010M","Margin of Error!!Total:!!Renter occupied:!!No vehicle available"
"B25044_010MA","Annotation of Margin of Error!!Total:!!Renter occupied:!!No vehicle available"
"B25044_011E","Estimate!!Total:!!Renter occupied:!!1 vehicle available"
"B25044_011EA","Annotation of Estimate!!Total:!!Renter occupied:!!1 vehicle available"
"B25044_011M","Margin of Error!!Total:!!Renter occupied:!!1 vehicle available"
"B25044_011MA","Annotation of Margin of Error!!Total:!!Renter occupied:!!1 vehicle available"
"B25044_012E","Estimate!!Total:!!Renter occupied:!!2 vehicles available"
"B25044_012M","Margin of Error!!Total:!!Renter occupied:!!2 vehicles available"
"B25044_012MA","Annotation of Margin of Error!!Total:!!Renter occupied:!!2 vehicles available"
"B25044_012EA","Annotation of Estimate!!Total:!!Renter occupied:!!2 vehicles available"
"B25044_013E","Estimate!!Total:!!Renter occupied:!!3 vehicles available"
"B25044_013EA","Annotation of Estimate!!Total:!!Renter occupied:!!3 vehicles available"
"B25044_013M","Margin of Error!!Total:!!Renter occupied:!!3 vehicles available"
"B25044_013MA","Annotation of Margin of Error!!Total:!!Renter occupied:!!3 vehicles available"
"B25044_014E","Estimate!!Total:!!Renter occupied:!!4 vehicles available"
"B25044_014EA","Annotation of Estimate!!Total:!!Renter occupied:!!4 vehicles available"
"B25044_014M","Margin of Error!!Total:!!Renter occupied:!!4 vehicles available"
"B25044_014MA","Annotation of Margin of Error!!Total:!!Renter occupied:!!4 vehicles available"
"B25044_015E","Estimate!!Total:!!Renter occupied:!!5 or more vehicles available"
"B25044_015EA","Annotation of Estimate!!Total:!!Renter occupied:!!5 or more vehicles available"
"B25044_015M","Margin of Error!!Total:!!Renter occupied:!!5 or more vehicles available"
"B25044_015MA","Annotation of Margin of Error!!Total:!!Renter occupied:!!5 or more vehicles available"
